index|id|country|country_code|city|neighborhood|postal_code|address|urban_situation|latitude|longitude
48|MYA503348|Myanmar|MYA|Mandalay|Tayoke Gyi|5033|84th Street, Yadanar BonMi (West), မဟာအောင်မြေ, မန္တလေး, မန္တလေးခရိုင်, မန္တလေးတိုင်း, 05033, မြန်မာ|Bus stop|21.965528689102|96.0767089804708
49|MYA501549|Myanmar|MYA|Mandalay|Zay Cho|5015|Srimantala Highway Bus Stand|Bus stop|21.989302104535|96.0712998278935
50|MYA501450|Myanmar|MYA|Mandalay|Zay Cho|5014|Gyigyi Sodaengsin Expressway Bus Station|Bus stop|21.9643586081612|96.1145575932462
51|THA1033051|Tailandia|THA|Bangkok|Bang Na|10330|BTS Nana Station (Exit 2)|Bus stop|13.7425929027982|100.555207200361
52|THA1026052|Tailandia|THA|Bangkok|Bang Na|10260|Opposite Soi Sukhumvit 64|Bus stop|13.6923161978314|100.644243359169
53|THA1027053|Tailandia|THA|Bangkok|Bang Na|10270|Samrong|Bus stop|13.6474525471648|100.595749021897
54|THA1011054|Tailandia|THA|Bangkok|Khlong Toe|10110|Thanon Ratchadaphisek|Bus stop|13.7307224113196|100.559925890432
55|THA1011055|Tailandia|THA|Bangkok|Khlong Toe|10110|ThaiBev Quarter Building|Bus stop|13.723468429127|100.559410906319
56|THA1011056|Tailandia|THA|Bangkok|Khlong Toe|10110|Soi Sukhumvit 18|Bus stop|13.7365587858124|100.56258664168
57|VIE57|Vietnam|VIE|Hanói|Đống Đa||P. Kham Thien|Bus stop|21.0192895843877|105.833526402711
58|VIE58|Vietnam|VIE|Hanói|Đống Đa||Le Dai Hanh, Hai Bà Trưng District|Bus stop|21.0141693602843|105.841451129611
59|VIE59|Vietnam|VIE|Hanói|Đống Đa||71 Xã Đàn|Bus stop|21.0122464140915|105.836234913934
60|VIE60|Vietnam|VIE|Hanói|Bằng A||Dai Kim, Hoàng Mai|Bus stop|20.9727053490807|105.835934092449
61|VIE61|Vietnam|VIE|Hanói|Bằng A||Đặng Xuân Bảng|Bus stop|20.9732062513331|105.828504092037
62|VIE62|Vietnam|VIE|Hanói|Bằng A||658 Trương Định|Bus stop|20.9812404940373|105.845284173576
