numero_img,index,id,country,country_code,city,node_type,latitude,longitude,indice,category,Angle_0,Angle_90,Angle_180,Angle_270,Angle_0_count,Angle_90_count,Angle_180_count,Angle_270_count,total_tags
82,11,BRA89251-60011,brasil,BRA,jaragua_do_sul,secundaria,-26.4873529,-49.0828184,BRA_jaragua_do_sul_S_82,autonomy,{'class_name': 'Bench'},{'class_name': 'Bench'},"{'class_name': 'Lounge chair'}, {'class_name': 'Armchair'}",,1,1,2,0,4
132,12,BRA89251-70012,brasil,BRA,jaragua_do_sul,secundaria,-26.4877526,-49.0851277,BRA_jaragua_do_sul_S_132,autonomy,,,{'class_name': 'Concrete planter'},,0,0,1,0,1
227,14,BRA89252-27514,brasil,BRA,jaragua_do_sul,principal,-26.49210571,-49.09080066,BRA_jaragua_do_sul_P_227,autonomy,,,,{'class_name': 'Concrete planter'},0,0,0,1,1
243,14,BRA89252-27514,brasil,BRA,jaragua_do_sul,secundaria,-26.4937457,-49.0921899,BRA_jaragua_do_sul_S_243,autonomy,,,,{'class_name': 'Concrete planter'},0,0,0,1,1
254,14,BRA89252-27514,brasil,BRA,jaragua_do_sul,secundaria,-26.48927,-49.0905225,BRA_jaragua_do_sul_S_254,autonomy,,,{'class_name': 'Concrete planter'},,0,0,1,0,1
271,15,BRA8925915,brasil,BRA,jaragua_do_sul,secundaria,-26.4982439,-49.086259,BRA_jaragua_do_sul_S_271,autonomy,,,,"{'class_name': 'Sun umbrella'}, {'class_name': 'Shade umbrella'}",0,0,0,2,2
299,15,BRA8925915,brasil,BRA,jaragua_do_sul,secundaria,-26.4982958,-49.0875945,BRA_jaragua_do_sul_S_299,autonomy,,{'class_name': 'Bench'},,,0,1,0,0,1
300,15,BRA8925915,brasil,BRA,jaragua_do_sul,secundaria,-26.4988139,-49.0851554,BRA_jaragua_do_sul_S_300,autonomy,,,,{'class_name': 'Shade umbrella'},0,0,0,1,1
303,15,BRA8925915,brasil,BRA,jaragua_do_sul,secundaria,-26.500149,-49.0878145,BRA_jaragua_do_sul_S_303,autonomy,,{'class_name': 'Cement box'},,,0,1,0,0,1
305,15,BRA8925915,brasil,BRA,jaragua_do_sul,secundaria,-26.5005096,-49.0856019,BRA_jaragua_do_sul_S_305,autonomy,,{'class_name': 'Shade umbrella'},,,0,1,0,0,1
309,15,BRA8925915,brasil,BRA,jaragua_do_sul,secundaria,-26.496926,-49.0876525,BRA_jaragua_do_sul_S_309,autonomy,,,{'class_name': 'Concrete planter'},{'class_name': 'Concrete planter'},0,0,1,1,2
327,15,BRA8925915,brasil,BRA,jaragua_do_sul,secundaria,-26.5002702,-49.0871974,BRA_jaragua_do_sul_S_327,autonomy,,,,{'class_name': 'Cement box'},0,0,0,1,1
331,15,BRA8925915,brasil,BRA,jaragua_do_sul,secundaria,-26.4996985,-49.0877107,BRA_jaragua_do_sul_S_331,autonomy,,{'class_name': 'Bench'},,,0,1,0,0,1
337,15,BRA8925915,brasil,BRA,jaragua_do_sul,secundaria,-26.497054,-49.08809,BRA_jaragua_do_sul_S_337,autonomy,{'class_name': 'Concrete planter'},,,,1,0,0,0,1
5,42,COL34,ecuador_colombia,COL,medellin,secundaria,6.2545637,-75.6297393,COL_medellin_S_5,autonomy,,{'class_name': 'Bench'},,,0,1,0,0,1
31,42,COL35,ecuador_colombia,COL,medellin,secundaria,6.2554932,-75.6313399,COL_medellin_S_31,autonomy,,,{'class_name': 'Bench'},,0,0,1,0,1
98,43,COL36,ecuador_colombia,COL,medellin,secundaria,6.2565474,-75.6283633,COL_medellin_S_98,autonomy,,{'class_name': 'Bench'},,,0,1,0,0,1
99,43,COL37,ecuador_colombia,COL,medellin,secundaria,6.2565527,-75.6294644,COL_medellin_S_99,autonomy,{'class_name': 'Bench'},,,,1,0,0,0,1
105,43,COL38,ecuador_colombia,COL,medellin,secundaria,6.2593737,-75.6296806,COL_medellin_S_105,autonomy,{'class_name': 'Bench'},,,,1,0,0,0,1
127,44,COL39,ecuador_colombia,COL,medellin,secundaria,6.2721612,-75.5604028,COL_medellin_S_127,autonomy,,{'class_name': 'Bench'},,,0,1,0,0,1
134,44,COL40,ecuador_colombia,COL,medellin,secundaria,6.2757902,-75.5609586,COL_medellin_S_134,autonomy,{'class_name': 'Shade umbrella'},,,,1,0,0,0,1
139,44,COL41,ecuador_colombia,COL,medellin,secundaria,6.2765182,-75.5601945,COL_medellin_S_139,autonomy,,,,"{'class_name': 'Outdoor bench'}, {'class_name': 'Bench'}",0,0,0,2,2
144,44,COL42,ecuador_colombia,COL,medellin,secundaria,6.2769054,-75.5641652,COL_medellin_S_144,autonomy,{'class_name': 'Cement box'},,,,1,0,0,0,1
153,44,COL43,ecuador_colombia,COL,medellin,secundaria,6.2760693,-75.5625132,COL_medellin_S_153,autonomy,,,"{'class_name': 'Outdoor bench'}, {'class_name': 'Bench'}",{'class_name': 'Bench'},0,0,2,1,3
160,44,COL44,ecuador_colombia,COL,medellin,secundaria,6.2738858,-75.5602678,COL_medellin_S_160,autonomy,,{'class_name': 'Bench'},{'class_name': 'Bench'},,0,1,1,0,2
174,44,COL45,ecuador_colombia,COL,medellin,secundaria,6.2754084,-75.564399,COL_medellin_S_174,autonomy,,,{'class_name': 'Bench'},{'class_name': 'Bench'},0,0,1,1,2
178,44,COL46,ecuador_colombia,COL,medellin,secundaria,6.2748247,-75.5631352,COL_medellin_S_178,autonomy,,,{'class_name': 'Bench'},,0,0,1,0,1
180,44,COL47,ecuador_colombia,COL,medellin,secundaria,6.2750235,-75.5616513,COL_medellin_S_180,autonomy,{'class_name': 'Bench'},{'class_name': 'Bench'},,,1,1,0,0,2
181,44,COL48,ecuador_colombia,COL,medellin,secundaria,6.2752968,-75.5637094,COL_medellin_S_181,autonomy,"{'class_name': 'Outdoor bench'}, {'class_name': 'Bench'}","{'class_name': 'Outdoor bench'}, {'class_name': 'Bench'}",,,2,2,0,0,4
198,44,COL49,ecuador_colombia,COL,medellin,secundaria,6.2725911,-75.5603121,COL_medellin_S_198,autonomy,,,,"{'class_name': 'Outdoor bench'}, {'class_name': 'Bench'}",0,0,0,2,2
216,44,COL50,ecuador_colombia,COL,medellin,secundaria,6.2749918,-75.5645683,COL_medellin_S_216,autonomy,,{'class_name': 'Bench'},,,0,1,0,0,1
217,44,COL51,ecuador_colombia,COL,medellin,secundaria,6.2747659,-75.564608,COL_medellin_S_217,autonomy,{'class_name': 'Bench'},,,,1,0,0,0,1
225,44,COL52,ecuador_colombia,COL,medellin,secundaria,6.2766172,-75.5648675,COL_medellin_S_225,autonomy,,"{'class_name': 'Outdoor bench'}, {'class_name': 'Bench'}",,,0,2,0,0,2
237,44,COL53,ecuador_colombia,COL,medellin,secundaria,6.2734853,-75.5613524,COL_medellin_S_237,autonomy,,,,{'class_name': 'Shade umbrella'},0,0,0,1,1
247,44,COL54,ecuador_colombia,COL,medellin,secundaria,6.27546,-75.5634955,COL_medellin_S_247,autonomy,,{'class_name': 'Cement box'},,,0,1,0,0,1
248,44,COL55,ecuador_colombia,COL,medellin,secundaria,6.275478,-75.5636787,COL_medellin_S_248,autonomy,,,{'class_name': 'Outdoor bench'},,0,0,1,0,1
262,44,COL56,ecuador_colombia,COL,medellin,secundaria,6.2733618,-75.5646937,COL_medellin_S_262,autonomy,,{'class_name': 'Concrete planter'},,,0,1,0,0,1
271,44,COL57,ecuador_colombia,COL,medellin,secundaria,6.2747972,-75.5652433,COL_medellin_S_271,autonomy,,,,"{'class_name': 'Outdoor bench'}, {'class_name': 'Bench'}",0,0,0,2,2
278,44,COL58,ecuador_colombia,COL,medellin,secundaria,6.275518,-75.5653428,COL_medellin_S_278,autonomy,,,,{'class_name': 'Cement box'},0,0,0,1,1
286,44,COL59,ecuador_colombia,COL,medellin,secundaria,6.2738931,-75.5646286,COL_medellin_S_286,autonomy,,,"{'class_name': 'Shade umbrella'}, {'class_name': 'Sun umbrella'}",,0,0,2,0,2
287,44,COL60,ecuador_colombia,COL,medellin,secundaria,6.27454,-75.5646552,COL_medellin_S_287,autonomy,,,,{'class_name': 'Cement box'},0,0,0,1,1
298,44,COL61,ecuador_colombia,COL,medellin,secundaria,6.2755413,-75.5643248,COL_medellin_S_298,autonomy,,,{'class_name': 'Bench'},,0,0,1,0,1
302,44,COL62,ecuador_colombia,COL,medellin,secundaria,6.2746286,-75.5644854,COL_medellin_S_302,autonomy,,{'class_name': 'Stone bollard'},,,0,1,0,0,1
322,45,COL63,ecuador_colombia,COL,medellin,secundaria,6.27491,-75.5588487,COL_medellin_S_322,autonomy,,{'class_name': 'Stone bollard'},,,0,1,0,0,1
324,45,COL64,ecuador_colombia,COL,medellin,secundaria,6.2772526,-75.557328,COL_medellin_S_324,autonomy,{'class_name': 'Shade umbrella'},,,,1,0,0,0,1
331,45,COL65,ecuador_colombia,COL,medellin,secundaria,6.2742393,-75.5572634,COL_medellin_S_331,autonomy,{'class_name': 'Sun umbrella'},,,,1,0,0,0,1
332,45,COL66,ecuador_colombia,COL,medellin,secundaria,6.276106,-75.5628873,COL_medellin_S_332,autonomy,{'class_name': 'Sun umbrella'},,,,1,0,0,0,1
333,45,COL67,ecuador_colombia,COL,medellin,secundaria,6.2771628,-75.5634093,COL_medellin_S_333,autonomy,{'class_name': 'Sun umbrella'},,,,1,0,0,0,1
334,45,COL68,ecuador_colombia,COL,medellin,secundaria,6.2761594,-75.5581294,COL_medellin_S_334,autonomy,{'class_name': 'Bench'},,,,1,0,0,0,1
358,45,COL69,ecuador_colombia,COL,medellin,secundaria,6.2733963,-75.5623777,COL_medellin_S_358,autonomy,,{'class_name': 'Bench'},,,0,1,0,0,1
363,45,COL70,ecuador_colombia,COL,medellin,secundaria,6.2729995,-75.5602503,COL_medellin_S_363,autonomy,,,,"{'class_name': 'Outdoor bench'}, {'class_name': 'Shade umbrella'}, {'class_name': 'Sun umbrella'}",0,0,0,3,3
389,45,COL71,ecuador_colombia,COL,medellin,secundaria,6.2774183,-75.563393,COL_medellin_S_389,autonomy,"{'class_name': 'Shade umbrella'}, {'class_name': 'Sun umbrella'}","{'class_name': 'Outdoor bench'}, {'class_name': 'Bench'}",,,2,2,0,0,4
392,45,COL72,ecuador_colombia,COL,medellin,secundaria,6.2718837,-75.5616307,COL_medellin_S_392,autonomy,"{'class_name': 'Shade umbrella'}, {'class_name': 'Sun umbrella'}","{'class_name': 'Outdoor bench'}, {'class_name': 'Bench'}",,,2,2,0,0,4
