Imagen,PSNR,SSIM
streetview_140_0.png,8.810595159515204,0.00934031060948684
streetview_139_270.png,8.89485037180252,0.009474781591399235
streetview_139_90.png,7.526728070207701,0.009170550234630205
streetview_139_180.png,8.417274922588101,0.009448421712427811
streetview_139_0.png,8.116822922405778,0.009312718978847176
streetview_138_90.png,7.565326896678246,0.00912636834688214
streetview_138_180.png,8.317467455027803,0.009694972385671031
streetview_140_270.png,8.406668550580786,0.009031227970277035
streetview_138_270.png,9.00815170802247,0.009663129394554486
streetview_138_0.png,7.999889919021076,0.009170024170473851
streetview_112_180.png,8.329399458586817,0.009558596335464214
streetview_112_90.png,7.59614203822618,0.009246021536943184
streetview_111_90.png,7.596134389866157,0.00924545700568481
streetview_111_180.png,8.329389769998999,0.009558540783008369
streetview_112_0.png,8.122692977587997,0.009342926603939409
streetview_111_270.png,8.907835098157342,0.009630950796585545
streetview_110_270.png,8.793878193581117,0.009548792515317102
streetview_110_0.png,7.980137398756197,0.009318585360685692
streetview_110_90.png,7.502473417024759,0.009039315350052327
streetview_110_180.png,8.442789169074246,0.009553445256079462
streetview_112_270.png,8.907830060513955,0.009631602109271158
streetview_111_0.png,8.122705750367345,0.009343003767098268
streetview_91_90.png,9.309671614346385,0.009858447631679411
streetview_91_0.png,9.13709037970537,0.010060687201888019
streetview_91_180.png,8.14222067754567,0.009260078971926154
streetview_91_270.png,7.790356845107484,0.009350161192241942
streetview_90_270.png,8.676569131682637,0.00929235027899013
streetview_90_180.png,8.258398308240398,0.009159845550097278
streetview_90_90.png,7.592767572592898,0.009061835840727039
streetview_90_0.png,7.894561468431646,0.009308956156740595
streetview_93_90.png,7.386755327673741,0.00932483410191881
streetview_92_180.png,8.085256538896626,0.008907962240211132
streetview_93_180.png,8.191755491739743,0.00952983711680055
streetview_92_270.png,7.460805481755841,0.008387641788986868
streetview_93_0.png,7.883398562247065,0.009563183407313042
streetview_93_270.png,8.562121990168482,0.009454229591495191
streetview_92_90.png,9.264643037147906,0.009787388951976046
streetview_92_0.png,8.798731168096763,0.009419111366224022
streetview_310_90.png,7.922997723574978,0.009153328700183608
streetview_310_180.png,7.562693036971434,0.00909794759547843
streetview_310_0.png,8.1219598685313,0.009048225426637828
streetview_309_180.png,7.562702012988315,0.00909887953558851
streetview_309_270.png,7.846305581852196,0.008483955374655886
streetview_309_90.png,7.923005432355921,0.009153401159274417
streetview_140_90.png,8.91702511530777,0.009776068577911851
streetview_140_180.png,8.714774780311185,0.009535501118843145
streetview_327_180.png,7.714864123174269,0.009631470533281311
streetview_326_270.png,8.204390523068735,0.009848118359481363
streetview_327_0.png,8.205051612839984,0.009571722094156075
streetview_327_90.png,7.880927013515525,0.009477071806426221
streetview_326_0.png,8.364710491912215,0.009600477430589978
streetview_326_90.png,7.956797547681212,0.009486782705087923
streetview_326_180.png,7.715841143827395,0.009533681591914457
streetview_327_270.png,8.140734888029062,0.009733444697611513
