index|id|country|country_code|city|node_type|latitude|longitude
2|ARGS2003IXO2|Argentina|ARG|Rosario|principal|-32.9580314274969|-60.6867330794227
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9554642|-60.6846994
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.956576|-60.6849727
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9552116|-60.6860342
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.954951|-60.6874174
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9563334|-60.6863092
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9575089|-60.6865976
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9597294|-60.6871419
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9572524|-60.6879921
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9570047|-60.6893387
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9560814|-60.6876988
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9558414|-60.6890412
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.955596|-60.6904126
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9581883|-60.6882264
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9605586|-60.6831391
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9591279|-60.6842568
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9588823|-60.6855458
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9586296|-60.6868719
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9580229|-60.6867234
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9583465|-60.6896857
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9600768|-60.685848
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9609254|-60.6874846
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9603248|-60.6844472
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.957677|-60.6838877
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9603062|-60.6845513
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.95795|-60.6839562
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9579695|-60.6838519
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.95571|-60.6832768
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9568122|-60.6836707
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9591479|-60.6841447
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9576656|-60.6837763
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9568327|-60.6835578
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9556877|-60.6833866
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9577175|-60.6852542
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9582268|-60.6896443
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.957896|-60.6866923
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9580695|-60.6881966
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.957543|-60.683746
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9575557|-60.6838551
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9577331|-60.6853784
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9602026|-60.6845262
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9602226|-60.6844159
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9599684|-60.6858207
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9604582|-60.6831138
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9555207|-60.6875591
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.95578|-60.6861735
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9552707|-60.6888953
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.955014|-60.6902671
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9569066|-60.6864497
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9566617|-60.6878451
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9564189|-60.6891855
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9583647|-60.6882623
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9594748|-60.6885486
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9608395|-60.6888977
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9595888|-60.6885783
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9598365|-60.6871729
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.959349|-60.6899385
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9592289|-60.6899078
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9592734|-60.6834405
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9603502|-60.6837105
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9604524|-60.6837332
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.960391|-60.6873316
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9606241|-60.6859862
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9562627|-60.6834151
2|ARGS2003IXO2|Argentina|ARG|Rosario|secundaria|-32.9603018|-60.6887654
